symbol,venue,strategy,tau_sec,forecast_kind,split,pnl_all_bps,pnl_kept_bps,pnl_filtered_bps,score_bps,winrate_kept,winrate_all,maxdd_kept_bps,turnover_kept_usd_day,turnover_all_usd_day,n_trades,n_kept,n_filtered,kept_frac,meets_turnover_constraint,n_days,source
btcusdt,binance,baseline,30,baseline,train_50_test_50,-0.1733234109818161,-0.1733234109818161,,0.0,0.4960230522799568,,1.17086808350123,12164231923.671318,12164231923.671318,49647497,49647497,0,1.0,True,9.999651631944444,liquidation_task_pnl_report
btcusdt,binance,baseline,120,baseline,train_50_test_50,-0.13978164499089,-0.13978164499089,,0.0,0.4995084439929402,,0.7770315317917935,12165161652.559343,12165161652.559343,49645411,49645411,0,1.0,True,9.998607546296295,liquidation_task_pnl_report
btcusdt,binance,baseline,300,baseline,train_50_test_50,-0.0281482804217821,-0.0281482804217821,,0.0,0.5013395444944395,,0.438291795977678,12167090576.04731,12167090576.04731,49642248,49642248,0,1.0,True,9.996523587962963,liquidation_task_pnl_report
btcusdt,binance,kalman_30s,30,kalman,train_50_test_50,-0.1733234109818161,-0.2590608786512778,-0.1016880425130999,-0.0857374676694616,0.4820952451312884,,3.0484531177534886,5537100667.271517,12164231923.671318,49647497,23173174,26474323,0.4667541245835616,True,9.999651631944444,liquidation_task_pnl_report
btcusdt,binance,kalman_30s,120,kalman,train_50_test_50,-0.13978164499089,-0.4189512808502341,0.0934730418794687,-0.279169635859344,0.4812874067701882,,4.825986642433534,5537561052.682138,12165161652.559343,49645411,23172443,26472968,0.4667590122277364,True,9.998607546296295,liquidation_task_pnl_report
btcusdt,binance,kalman_30s,300,kalman,train_50_test_50,-0.0281482804217821,-1.254566014948309,0.996561921096588,-1.2264177345265272,0.4777790916823939,,13.070591723349,5538442145.57561,12167090576.04731,49642248,23170970,26471278,0.4667590798869543,True,9.996523587962963,liquidation_task_pnl_report
btcusdt,binance,kalman_300s,30,kalman,train_50_test_50,-0.1733234109818161,-0.3168774746374925,-0.0467281713738781,-0.1435540636556764,0.4808419714988795,,3.3418249889814606,5700306594.983206,12164231923.671318,49647497,24089509,25557988,0.4852109462839586,True,9.999651631944444,liquidation_task_pnl_report
btcusdt,binance,kalman_300s,120,kalman,train_50_test_50,-0.13978164499089,-0.4585150793712046,0.1412957866383041,-0.3187334343803146,0.4713032398803891,,5.081984708588523,5700717653.5563755,12165161652.559343,49645411,24088451,25556960,0.4852100227350318,True,9.998607546296295,liquidation_task_pnl_report
btcusdt,binance,kalman_300s,300,kalman,train_50_test_50,-0.0281482804217821,-0.9172177655635676,0.7559009842552984,-0.8890694851417854,0.476032785696929,,10.364669554850002,5701686398.793928,12167090576.04731,49642248,24086967,25555281,0.485211044431348,True,9.996523587962963,liquidation_task_pnl_report
btcusdt,binance,lgbm_nk_30s,30,lgbm_nk,train_50_test_50,-0.1733234109818161,-0.1080671518386934,-0.2364756943703355,0.0652562591431226,0.5014242202523398,,1.0328507899949773,5982460407.243289,12164231923.671318,49647497,20498234,29149263,0.4128754768845648,True,9.999651631944444,liquidation_task_pnl_report
btcusdt,binance,lgbm_nk_30s,120,lgbm_nk,train_50_test_50,-0.13978164499089,0.0355501709661687,-0.3094651900713119,0.1753318159570587,0.5045282093602735,,0.5467118103609856,5983002465.384217,12165161652.559343,49645411,20497948,29147463,0.4128870642243248,True,9.998607546296295,liquidation_task_pnl_report
btcusdt,binance,lgbm_nk_30s,300,lgbm_nk,train_50_test_50,-0.0281482804217821,-0.2586536354339613,0.1949335234617503,-0.2305053550121791,0.496032493532308,,3.058160483367532,5983980058.710217,12167090576.04731,49642248,20496879,29145369,0.4128918376138002,True,9.996523587962963,liquidation_task_pnl_report
btcusdt,binance,lgbm_nk_300s,30,lgbm_nk,train_50_test_50,-0.1733234109818161,-0.247084884242128,-0.0992070180125063,-0.0737614732603118,0.4935343247275272,,1.9870485285351984,6096713567.835159,12164231923.671318,49647497,24247738,25399759,0.488397995169827,True,9.999651631944444,liquidation_task_pnl_report
btcusdt,binance,lgbm_nk_300s,120,lgbm_nk,train_50_test_50,-0.13978164499089,0.1414747598779371,-0.4223927104987985,0.2812564048688272,0.5084134301107243,,0.8950407008156525,6097193892.757667,12165161652.559343,49645411,24246710,25398701,0.4883978098197233,True,9.998607546296295,liquidation_task_pnl_report
btcusdt,binance,lgbm_nk_300s,300,lgbm_nk,train_50_test_50,-0.0281482804217821,1.151841466249576,-1.2137891105576184,1.179989746671358,0.5189342080911995,,1.067511937783363,6098077828.530869,12167090576.04731,49642248,24245033,25397215,0.4883951468112403,True,9.996523587962963,liquidation_task_pnl_report
btcusdt,binance,lgbm_full_30s,30,lgbm_full,train_50_test_50,-0.1733234109818161,-0.0597666791080402,-0.2870876204828999,0.1135567318737759,0.5064732318055429,,1.0308667337435926,6087667157.344269,12164231923.671318,49647497,20983877,28663620,0.4226572993196414,True,9.999651631944444,liquidation_task_pnl_report
btcusdt,binance,lgbm_full_30s,120,lgbm_full,train_50_test_50,-0.13978164499089,0.1322031784753663,-0.412270726882298,0.2719848234662563,0.509771776863421,,0.4698609975916087,6088214140.563678,12165161652.559343,49645411,20983543,28661868,0.4226683308151079,True,9.998607546296295,liquidation_task_pnl_report
btcusdt,binance,lgbm_full_30s,300,lgbm_full,train_50_test_50,-0.0281482804217821,-0.0116013684914273,-0.0447258678310462,0.0165469119303547,0.5011502686835675,,3.045274176421674,6089179053.6321535,12167090576.04731,49642248,20982489,28659759,0.4226740295886681,True,9.996523587962963,liquidation_task_pnl_report
btcusdt,binance,ensemble_30s,30,ensemble,train_50_test_50,-0.1733234109818161,-0.1080671518386934,-0.2364756943703355,0.0652562591431226,0.5014242202523398,,1.0328507899949773,5982460407.243289,12164231923.671318,49647497,20498234,29149263,0.4128754768845648,True,9.999651631944444,liquidation_task_pnl_report
btcusdt,binance,ensemble_30s,120,ensemble,train_50_test_50,-0.13978164499089,0.0355501709661687,-0.3094651900713119,0.1753318159570587,0.5045282093602735,,0.5467118103609856,5983002465.384217,12165161652.559343,49645411,20497948,29147463,0.4128870642243248,True,9.998607546296295,liquidation_task_pnl_report
btcusdt,binance,ensemble_30s,300,ensemble,train_50_test_50,-0.0281482804217821,-0.2586536354339613,0.1949335234617503,-0.2305053550121791,0.496032493532308,,3.058160483367532,5983980058.710217,12167090576.04731,49642248,20496879,29145369,0.4128918376138002,True,9.996523587962963,liquidation_task_pnl_report
ethusdt,binance,baseline,30,baseline,train_50_test_50,0.0203349642301531,0.0203349642301531,,0.0,0.498080839592562,,2.4112865616767496,12213995915.085926,12213995915.085926,442557327,442557327,0,1.0,True,46.122982685185185,liquidation_task_pnl_report
ethusdt,binance,baseline,120,baseline,train_50_test_50,0.1097446049574742,0.1097446049574742,,0.0,0.4997459007158184,,2.3210765667375712,12213995915.085926,12213995915.085926,442557327,442557327,0,1.0,True,46.122982685185185,liquidation_task_pnl_report
ethusdt,binance,baseline,300,baseline,train_50_test_50,0.2267707834024644,0.2267707834024644,,0.0,0.5012561118835246,,1.5814150663551283,12213995556.95168,12213995556.95168,442557313,442557313,0,1.0,True,46.122982685185185,liquidation_task_pnl_report
ethusdt,binance,kalman_30s,30,kalman,train_50_test_50,0.0203349642301531,-0.297673667191539,0.2746863011952501,-0.3180086314216922,0.4807957025942532,,17.589102921057563,5427783846.317029,12213995915.085926,442557327,208494532,234062795,0.4711130497224826,True,46.122982685185185,liquidation_task_pnl_report
ethusdt,binance,kalman_30s,120,kalman,train_50_test_50,0.1097446049574742,-0.7356121468376232,0.7858822904985714,-0.8453567517950975,0.4844320809334222,,31.690489889249704,5427783846.317029,12213995915.085926,442557327,208494532,234062795,0.4711130497224826,True,46.122982685185185,liquidation_task_pnl_report
